Site,Tunnel,System Type,PE Type,MSC ,ICR-2,ICR -3,LED ,VMS,CLV490 ,CLV690,Mirror Type,CLV Setup,SOPAS,Scale Installed,MSC ETH1               IP,MSC ETH1        Mask,MSC ETH1 Gateway,MSC ETH2               IP,MSC ETH2        Mask,MSC ETH2 Gateway,SNTP IP,Solution Server   IP,Solution Server Mask,Solution Server Gateway,Solution Server SNTP IP,Hard Drives,Solution Server Image,Solution Server Software
CHAR,SS4,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.65.12.199,255.255.255.0,10.65.12.1,10.65.13.199,255.255.255.0,10.65.12.1,10.65.0.1,10.65.3.114,255.255.254.0,10.65.2.1,10.65.0.1,,9193313_03,1.3.0.1.RC
CHAR,SS5,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.65.12.200,255.255.255.0,10.65.12.1,10.65.13.200,255.255.255.0,10.65.12.1,10.65.0.1,10.65.3.115,255.255.254.0,10.65.2.1,10.65.0.1,,9193313_03,1.3.0.1.RC
CHAR,SS6,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.65.12.201,255.255.255.0,10.65.12.1,10.65.13.201,255.255.255.0,10.65.12.1,10.65.0.1,10.65.3.116,255.255.254.0,10.65.2.1,10.65.0.1,,9193313_03,1.3.0.1.RC
CHND,SS01,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,,V 4.0.3.19,V 1.49,S 2.52,,1.4.0.10,2073519,5.2,2.38.3 ,Yes,10.70.152.196,255.255.254.0,10.70.152.1,10.70.153.196,255.255.254.0,10.70.152.1,10.70.152.1,10.70.147.111,255.255.254.0,10.70.146.1,10.70.146.1,,9193313_05,1.3.0.1.RC
CHND,SS02,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,,V 4.0.3.19,V 1.49,S 2.52,,1.4.0.10,2073519,5.2,2.38.3 ,Yes,10.70.152.197,255.255.254.0,10.70.152.1,10.70.153.197,255.255.254.0,10.70.152.1,10.70.152.1,10.70.147.112,255.255.254.0,10.70.146.1,10.70.146.1,,9193313_05,1.3.0.1.RC
CLEV,SS1,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.67.216.196,255.255.255.0,10.67.216.1,10.67.217.196,255.255.255.0,10.67.216.1,10.67.208.1,10.67.211.111,255.255.254.0,10.67.210.1,10.67.208.1,,9193313_03,1.3.0.1.RC
CLEV,SS2,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.67.216.197,255.255.255.0,10.67.216.1,10.67.217.197,255.255.255.0,10.67.216.1,10.67.208.1,10.67.211.112,255.255.254.0,10.67.210.1,10.67.208.1,,9193313_03,1.3.0.1.RC
COLO,GREEN-IN,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,Yes,10.64.140.196,255.255.255.0,10.64.140.1,10.64.141.196,255.255.255.0,10.64.140.1,10.64.128.1,10.64.131.151,255.255.254.0,10.64.130.1,10.64.128.1,,9193313_03,1.3.0.1.RC
COLO,GREEN-OUT,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,Yes,10.64.140.197,255.255.255.0,10.64.140.1,10.64.141.197,255.255.255.0,10.64.140.1,10.64.128.1,10.64.131.153,255.255.254.0,10.64.130.1,10.64.128.1,,9193313_03,1.3.0.1.RC
COLO,BROWN-IN,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.64.140.198,255.255.255.0,10.64.140.1,10.64.141.198,255.255.255.0,10.64.140.1,10.64.128.1,10.64.131.155,255.255.254.0,10.64.130.1,10.64.128.1,,9193313_03,1.3.0.1.RC
COLO,BROWN-OUTTER,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.64.140.199,255.255.255.0,10.64.140.1,10.64.141.199,255.255.255.0,10.64.140.1,10.64.128.1,10.64.131.157,255.255.254.0,10.64.130.1,10.64.128.1,,9193313_03,1.3.0.1.RC
COLO,RED-IN,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.64.140.201,255.255.254.0,10.64.140.1,10.64.141.201,255.255.254.0,10.64.140.1,10.64.128.1,10.64.131.159,255.255.254.0,10.64.130.1,10.64.128.1,,9193313_03,1.3.0.1.RC
COLO,RED-OUTTER,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.64.140.202,255.255.254.0,10.64.140.1,10.64.141.202,255.255.254.0,10.64.140.1,10.64.128.1,10.64.131.161,255.255.254.0,10.64.130.1,10.64.128.1,,9193313_03,1.3.0.1.RC
COLO,BLUE-LOWER,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.64.140.203,255.255.254.0,10.64.140.1,10.64.141.203,255.255.254.0,10.64.140.1,10.64.128.1,10.64.131.163,255.255.254.0,10.64.130.1,10.64.128.1,,9193313_03,1.3.0.1.RC
COLO,BLUE-UPPER,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.64.140.204,255.255.254.0,10.64.140.1,10.64.141.204,255.255.254.0,10.64.140.1,10.64.128.1,10.64.131.165,255.255.254.0,10.64.130.1,10.64.128.1,,9193313_03,1.3.0.1.RC
CRLS,SS1,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.79.92.196,255.255.255.0,10.79.92.1,10.79.93.196,255.255.255.0,10.79.92.1,10.79.80.1,10.79.83.111,255.255.254.0,10.79.82.1,10.79.80.1,,9193313_04,1.3.0.1.RC
CRLS,SS2,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.79.92.197,255.255.255.0,10.79.92.1,10.79.93.197,255.255.255.0,10.79.92.1,10.79.80.1,10.79.83.112,255.255.254.0,10.79.82.1,10.79.80.1,,9193313_04,1.3.0.1.RC
CRSN,SS1,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.81.152.196,255.255.255.0,10.81.152.1,10.81.153.196,255.255.255.0,10.81.152.1,10.81.144.1,10.81.147.111,255.255.254.0,10.81.146.1,10.81.144.1,,9193313_03,1.3.0.1.RC
CRSN,SS2,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.81.152.197,255.255.255.0,10.81.152.1,10.81.153.197,255.255.255.0,10.81.152.1,10.81.144.1,10.81.147.112,255.255.254.0,10.81.146.1,10.81.144.1,,9193313_03,1.3.0.1.RC
