Date/Time,Site Name,Tunnel Name,Tunnel Type,IP,Reachable?,,,,,,,
12-09-15_16:28,HRBG,BrownIn,ICR,10.64.35.114,Reachable,,,,,,,
12-09-15_16:28,HRBG,RedIn,ICR,10.64.35.116,Reachable,,,,,,,
12-09-15_16:28,HRBG,RedOut,ICR,10.64.35.117,Reachable,,,,,,,
12-09-15_16:28,IDST,SS1,ICR,10.85.3.111,Reachable,,,,,,,
12-09-15_16:28,IDST,SS2,ICR,10.85.3.112,Reachable,,,,,,,
12-09-15_16:28,INDI,SS1,ICR,10.64.51.111,Reachable,,,,,,,
12-09-15_16:28,INDI,SS2,ICR,10.64.51.112,Reachable,,,,,,,
12-09-15_16:28,IRVG,SS1,ICR,10.81.19.111,Reachable,,,,,,,
12-09-15_16:28,IRVG,SS2,ICR,10.81.19.112,Reachable,,,,,,,
12-09-15_16:28,JKSV,SS01,ICR,10.91.163.111,UNREACHABLE,,,,,,,
12-09-15_16:28,JKSV,SS02,ICR,10.91.163.112,UNREACHABLE,,,,,,,
12-09-15_16:28,KCMO,LC1,ICR,10.87.67.131,Reachable,,,,,,,
12-09-15_16:28,KCMO,LC2,ICR,10.87.67.132,Reachable,,,,,,,
12-09-15_16:28,KCMO,PS1,ICR,10.87.67.103,UNREACHABLE,,,,,,,
12-09-15_16:28,KCMO,PS2,ICR,10.87.67.101,Reachable,,,,,,,
12-09-15_16:28,KCMO,PS3,ICR,10.87.67.104,UNREACHABLE,,,,,,,
12-09-15_16:28,KCMO,PS4,ICR,10.87.67.102,Reachable,,,,,,,
12-09-15_16:28,KCMO,PSR,ICR,10.87.67.110,Reachable,,,,,,,
12-09-15_16:28,KCMO,SSA1,ICR,10.87.67.117,Reachable,,,,,,,
12-09-15_16:28,KCMO,SSA2,ICR,10.87.67.118,Reachable,,,,,,,
12-09-15_16:28,KCMO,SSB1,ICR,10.87.67.115,Reachable,,,,,,,
12-09-15_16:28,KCMO,SSB2,ICR,10.87.67.116,Reachable,,,,,,,
12-09-15_16:28,KCMO,SSB3,ICR,10.87.67.113,Reachable,,,,,,,
12-09-15_16:28,LASV,SS1,ICR,10.110.19.111,Reachable,,,,,,,
12-09-15_16:28,LASV,SS2,ICR,10.110.19.112,Reachable,,,,,,,
12-09-15_16:28,LNXA,PS1,ICR,10.64.163.101,Reachable,,,,,,,
12-09-15_16:28,LNXA,PS2,ICR,10.64.163.102,Reachable,,,,,,,
12-09-15_16:28,LNXA,PS3,ICR,10.64.163.103,Reachable,,,,,,,
12-09-15_16:28,LNXA,PS4,ICR,10.64.163.104,Reachable,,,,,,,
12-09-15_16:28,LNXA,SS1,ICR,10.64.163.111,Reachable,,,,,,,
12-09-15_16:28,LNXA,SS2,ICR,10.64.163.112,Reachable,,,,,,,
12-09-15_16:28,LNXA,SS3,ICR,10.64.163.113,Reachable,,,,,,,
12-09-15_16:28,LNXA,SS4,ICR,10.64.163.114,Reachable,,,,,,,
12-09-15_16:28,LNXA,SS5,ICR,10.64.163.115,Reachable,,,,,,,
12-09-15_16:28,LNXA,SS6,ICR,10.64.163.116,Reachable,,,,,,,
12-09-15_16:28,LOSA,Lower,ICR,10.65.67.111,Reachable,,,,,,,
12-09-15_16:28,LOSA,Upper,ICR,10.65.67.112,Reachable,,,,,,,
12-09-15_16:28,MANC,SS01,ICR,10.95.67.111,Reachable,,,,,,,
12-09-15_16:28,MANC,SS02,ICR,10.95.67.112,Reachable,,,,,,,
12-09-15_16:28,MARI,PS1,ICR,10.81.179.93,Reachable,,,,,,,
12-09-15_16:28,MARI,PS2,ICR,10.81.179.95,Reachable,,,,,,,
12-09-15_16:28,MARI,PS3,ICR,10.81.179.97,Reachable,,,,,,,
12-09-15_16:28,MARI,PSR,ICR,10.81.179.99,Reachable,,,,,,,
12-09-15_16:28,MARI,SSA1,ICR,10.81.179.101,Reachable,,,,,,,
12-09-15_16:28,MARI,SSA2,ICR,10.81.179.103,Reachable,,,,,,,
12-09-15_16:28,MARI,SSA3,ICR,10.81.179.105,Reachable,,,,,,,
12-09-15_16:28,MARI,LC1,ICR,10.81.179.107,Reachable,,,,,,,
12-09-15_16:28,MARI,LC2,ICR,10.81.179.109,Reachable,,,,,,,
12-09-15_16:28,MCCK,SS1,ICR,10.81.99.111,Reachable,,,,,,,
12-09-15_16:28,MCCK,SS2,ICR,10.81.99.112,Reachable,,,,,,,
12-09-15_16:28,MPGR,SS01,ICR,10.97.227.111,UNREACHABLE,,,,,,,
12-09-15_16:28,MPGR,SS02,ICR,10.97.227.112,UNREACHABLE,,,,,,,
12-09-15_16:28,NFTW,SS1,ICR,10.71.115.111,Reachable,,,,,,,
12-09-15_16:28,NFTW,SS2,ICR,10.71.115.112,Reachable,,,,,,,
12-09-15_16:28,NIND,SS1,ICR,10.83.99.111,Reachable,,,,,,,
12-09-15_16:28,NIND,SS2,ICR,10.83.99.112,Reachable,,,,,,,
12-09-15_16:28,NOKY,PS1,ICR,10.70.3.101,Reachable,,,,,,,
12-09-15_16:28,NOKY,PS2,ICR,10.70.3.102,Reachable,,,,,,,
12-09-15_16:28,NOKY,PS3,ICR,10.70.3.103,Reachable,,,,,,,
12-09-15_16:28,NOKY,PSR,ICR,10.70.3.110,Reachable,,,,,,,
12-09-15_16:28,NOKY,SSA1,ICR,10.70.3.111,Reachable,,,,,,,
12-09-15_16:28,NOKY,SSA2,ICR,10.70.3.112,Reachable,,,,,,,
12-09-15_16:28,NOKY,SSB1,ICR,10.70.3.115,Reachable,,,,,,,
12-09-15_16:28,NOKY,SSB2,ICR,10.70.3.116,Reachable,,,,,,,
12-09-15_16:28,NORC,SS1,ICR,10.67.131.111,Reachable,,,,,,,
12-09-15_16:28,NORC,SS2,ICR,10.67.131.112,Reachable,,,,,,,
12-09-15_16:28,OKLA,SS1,ICR,10.93.51.111,Reachable,,,,,,,
12-09-15_16:28,OLIV,PS1,ICR,10.89.19.101,Reachable,,,,,,,
12-09-15_16:28,OLIV,PS2,ICR,10.89.19.102,Reachable,,,,,,,
12-09-15_16:28,OLIV,PS3,ICR,10.89.19.103,Reachable,,,,,,,
12-09-15_16:28,OLIV,PS4,ICR,10.89.19.104,Reachable,,,,,,,
12-09-15_16:28,OLIV,PSR,ICR,10.89.19.110,Reachable,,,,,,,
12-09-15_16:28,OLIV,SSA1,ICR,10.89.19.111,Reachable,,,,,,,
12-09-15_16:28,OLIV,SSA2,ICR,10.89.19.112,Reachable,,,,,,,
12-09-15_16:28,OLIV,SSA3,ICR,10.89.19.113,Reachable,,,,,,,
12-09-15_16:28,OLIV,SSB1,ICR,10.89.19.115,Reachable,,,,,,,
12-09-15_16:28,OLIV,SSB2,ICR,10.89.19.116,Reachable,,,,,,,
12-09-15_16:28,OLIV,SSB3,ICR,10.89.19.117,Reachable,,,,,,,
12-09-15_16:28,OLIV,LC1,ICR,10.89.19.131,Reachable,,,,,,,
12-09-15_16:28,OLIV,LC2,ICR,10.89.19.132,UNREACHABLE,,,,,,,
12-09-15_16:28,ORLA,PS1,ICR,10.68.35.101,Reachable,,,,,,,
12-09-15_16:28,ORLA,PS2,ICR,10.68.35.102,Reachable,,,,,,,
12-09-15_16:28,ORLA,PS3,ICR,10.68.35.103,Reachable,,,,,,,
12-09-15_16:28,ORLA,PS4,ICR,10.68.35.104,Reachable,,,,,,,
12-09-15_16:28,ORLA,SS1,ICR,10.68.35.111,Reachable,,,,,,,
12-09-15_16:28,ORLA,SS3,ICR,10.68.35.113,Reachable,,,,,,,
