Site,Tunnel,System Type,Scale Installed
WOOD,PS6,ICR,Yes
WOOD,PS,ICR,Yes
WOOD,PS,ICR,Yes
WOOD,PSR,ICR,No
WOOD,PSR2,ICR,No
WOOD,SSA1,ICR,No
WOOD,SSA2,ICR,No
WOOD,SSB1,ICR,No
WOOD,SSB2,ICR,No
WOOD,SSB3,ICR,No
WOOD,SSB4,ICR,No
WOOD,SSC1,ICR,No
WOOD,SSC2,ICR,No
WOOD,SSC3,ICR,No
WOOD,SSC4,ICR,No
WOOD,SSD1,ICR,No
WOOD,SSD2,ICR,No
WOOD,SSE1,ICR,No
WOOD,SSE2,ICR,No
WPOR,SS1,,
WPOR,SS2,,
WRLT,SS1,ICR,Yes
WRLT,SS2,ICR,Yes
